Format Version,1.23,Take Name,Take 2024-07-17 09.12.15 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-07-17 09.12.15.319 AM,Total Frames in Take,11539,Total Exported Frames,11539,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,drone,drone,drone,drone,drone,drone,drone
,ID,"22A75B1D441211EF92AE9699928D7189","22A75B1D441211EF92AE9699928D7189","22A75B1D441211EF92AE9699928D7189","22A75B1D441211EF92AE9699928D7189","22A75B1D441211EF92AE9699928D7189","22A75B1D441211EF92AE9699928D7189","22A75B1D441211EF92AE9699928D7189"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
119,0.991667,-0.023045,0.999286,-0.004518,-0.029600,-1.424447,0.229411,-0.102272
120,1.000000,-0.023022,0.999287,-0.004418,-0.029599,-1.424447,0.229427,-0.102286
121,1.008333,-0.023029,0.999286,-0.004465,-0.029629,-1.424447,0.229432,-0.102272
122,1.016667,-0.023050,0.999287,-0.004413,-0.029591,-1.424446,0.229424,-0.102293
123,1.025000,-0.022951,0.999291,-0.004409,-0.029528,-1.424432,0.229426,-0.102280
124,1.033333,-0.022988,0.999289,-0.004435,-0.029550,-1.424433,0.229423,-0.102286
125,1.041667,-0.023002,0.999287,-0.004428,-0.029599,-1.424442,0.229437,-0.102286
126,1.050000,-0.022974,0.999288,-0.004447,-0.029583,-1.424443,0.229430,-0.102288
127,1.058333,-0.022953,0.999289,-0.004426,-0.029570,-1.424440,0.229413,-0.102275
128,1.066667,-0.022956,0.999290,-0.004537,-0.029533,-1.424438,0.229409,-0.102274
129,1.075000,-0.023000,0.999288,-0.004493,-0.029567,-1.424449,0.229415,-0.102275
130,1.083333,-0.023007,0.999289,-0.004410,-0.029560,-1.424450,0.229427,-0.102271
131,1.091667,-0.023026,0.999285,-0.004474,-0.029645,-1.424461,0.229410,-0.102288
132,1.100000,-0.023030,0.999286,-0.004439,-0.029625,-1.424451,0.229424,-0.102285
133,1.108333,-0.022998,0.999288,-0.004387,-0.029594,-1.424468,0.229428,-0.102284
134,1.116667,-0.022969,0.999288,-0.004363,-0.029617,-1.424466,0.229443,-0.102295
135,1.125000,-0.023009,0.999288,-0.004365,-0.029579,-1.424455,0.229421,-0.102285
136,1.133333,-0.022952,0.999289,-0.004394,-0.029588,-1.424449,0.229433,-0.102297
137,1.141667,-0.022968,0.999289,-0.004400,-0.029577,-1.424445,0.229444,-0.102289
138,1.150000,-0.022957,0.999289,-0.004383,-0.029583,-1.424451,0.229426,-0.102279
139,1.158333,-0.022956,0.999289,-0.004441,-0.029564,-1.424446,0.229419,-0.102274
140,1.166667,-0.022949,0.999289,-0.004523,-0.029585,-1.424453,0.229430,-0.102272
141,1.175000,-0.022924,0.999290,-0.004474,-0.029579,-1.424447,0.229430,-0.102266
142,1.183333,-0.023021,0.999287,-0.004436,-0.029588,-1.424457,0.229423,-0.102266
143,1.191667,-0.023037,0.999286,-0.004476,-0.029612,-1.424451,0.229423,-0.102281
144,1.200000,-0.022981,0.999288,-0.004381,-0.029606,-1.424450,0.229440,-0.102288
145,1.208333,-0.023045,0.999286,-0.004487,-0.029587,-1.424456,0.229445,-0.102292
146,1.216667,-0.023008,0.999288,-0.004419,-0.029587,-1.424452,0.229443,-0.102281
147,1.225000,-0.022969,0.999290,-0.004311,-0.029554,-1.424449,0.229452,-0.102284
148,1.233333,-0.023026,0.999287,-0.004414,-0.029584,-1.424445,0.229423,-0.102292
149,1.241667,-0.022987,0.999290,-0.004369,-0.029532,-1.424452,0.229421,-0.102277
150,1.250000,-0.022944,0.999290,-0.004412,-0.029559,-1.424445,0.229420,-0.102275
151,1.258333,-0.022972,0.999289,-0.004465,-0.029572,-1.424444,0.229438,-0.102260
152,1.266667,-0.022996,0.999288,-0.004449,-0.029568,-1.424452,0.229432,-0.102256
153,1.275000,-0.022971,0.999289,-0.004459,-0.029569,-1.424440,0.229425,-0.102269
154,1.283333,-0.023018,0.999287,-0.004669,-0.029557,-1.424461,0.229441,-0.102252
155,1.291667,-0.022992,0.999288,-0.004474,-0.029574,-1.424458,0.229428,-0.102267
156,1.300000,-0.023043,0.999286,-0.004419,-0.029597,-1.424447,0.229437,-0.102281
157,1.308333,-0.023011,0.999287,-0.004385,-0.029608,-1.424450,0.229420,-0.102278
158,1.316667,-0.022989,0.999288,-0.004388,-0.029607,-1.424453,0.229433,-0.102292
159,1.325000,-0.023013,0.999287,-0.004390,-0.029614,-1.424456,0.229417,-0.102281
160,1.333333,-0.022972,0.999289,-0.004446,-0.029573,-1.424447,0.229431,-0.102286
161,1.341667,-0.022929,0.999290,-0.004440,-0.029564,-1.424436,0.229415,-0.102283
162,1.350000,-0.022913,0.999291,-0.004441,-0.029530,-1.424435,0.229404,-0.102281
163,1.358333,-0.022966,0.999289,-0.004475,-0.029563,-1.424434,0.229404,-0.102263
164,1.366667,-0.022974,0.999289,-0.004450,-0.029556,-1.424438,0.229424,-0.102264
165,1.375000,-0.023002,0.999288,-0.004731,-0.029537,-1.424468,0.229431,-0.102247
166,1.383333,-0.022994,0.999288,-0.004482,-0.029575,-1.424456,0.229421,-0.102264
167,1.391667,-0.023083,0.999286,-0.004697,-0.029554,-1.424455,0.229412,-0.102258
168,1.400000,-0.023033,0.999286,-0.004525,-0.029591,-1.424452,0.229423,-0.102278
169,1.408333,-0.022981,0.999286,-0.004459,-0.029643,-1.424446,0.229410,-0.102273
170,1.416667,-0.022993,0.999287,-0.004456,-0.029617,-1.424459,0.229407,-0.102288
171,1.425000,-0.022989,0.999288,-0.004413,-0.029596,-1.424450,0.229423,-0.102284
172,1.433333,-0.022771,0.999296,-0.004921,-0.029415,-1.424450,0.229351,-0.102216
173,1.441667,-0.022969,0.999289,-0.004473,-0.029554,-1.424437,0.229403,-0.102270
174,1.450000,-0.022960,0.999290,-0.004405,-0.029542,-1.424435,0.229407,-0.102263
175,1.458333,-0.022900,0.999291,-0.004450,-0.029548,-1.424426,0.229406,-0.102254
176,1.466667,-0.022975,0.999288,-0.004514,-0.029595,-1.424446,0.229415,-0.102286
177,1.475000,-0.022964,0.999288,-0.004523,-0.029582,-1.424450,0.229419,-0.102260
