sec,pos_x,pos_y,pos_z,x,y,z,w
1723550661.194585,-0.45557284355163574,-1.100351095199585,-0.9944136142730713,0.0007643659266956562,-0.026291200885419926,-0.0696857960711468,0.9972221714688013
1723550661.29539,-0.4564428925514221,-1.1050574779510498,-0.9713209867477417,-0.005219397412500466,-0.03570251503551391,-0.06845200093184661,0.9970017277875753
1723550661.3962224,-0.46003440022468567,-1.1075071096420288,-0.9820495247840881,-0.004434127168596383,-0.04245386698770997,-0.06913599815099075,0.9966936436774342
1723550661.4972913,-0.44559112191200256,-1.1177674531936646,-1.0054770708084106,-0.00144787301632324,-0.043163728257836265,-0.06923894648138175,0.9966648259924686
1723550661.5980647,-0.435407817363739,-1.1245876550674438,-1.006899118423462,-0.001057757382839711,-0.04049656341403663,-0.07027378383740172,0.9967048191831847
1723550661.6989493,-0.4283263683319092,-1.1302213668823242,-1.0121396780014038,-0.000803735641024697,-0.03916690389720255,-0.072137037138857,0.99662507789867
1723550661.7997851,-0.4168086349964142,-1.135687232017517,-1.0084974765777588,-0.0013262543284677441,-0.03775614914520326,-0.0733314828027247,0.9965917800807775
1723550661.900726,-0.3977205455303192,-1.1425695419311523,-0.9989304542541504,-0.0027333382240833748,-0.03942296339754278,-0.07534629855542137,0.9963740534109707
1723550662.0015023,-0.3848208785057068,-1.1474378108978271,-1.0107316970825195,-0.003527597285748191,-0.0412943576645387,-0.0772439293512619,0.9961504527389791
1723550662.1023717,-0.35415515303611755,-1.1571592092514038,-1.0194734334945679,-0.0016580031380041334,-0.039858668622123256,-0.07872538162355998,0.9960978115223378
1723550662.203339,-0.3256652355194092,-1.1672841310501099,-1.0072062015533447,-0.001205058553924243,-0.03922123871728763,-0.07995643976180274,0.9960256815073588
1723550662.3042212,-0.30404001474380493,-1.1738427877426147,-1.0077149868011475,-0.00037958032378209377,-0.03925919566668509,-0.0815298472793827,0.9958972961574851
1723550662.506033,-0.2352432906627655,-1.1880011558532715,-1.0064703226089478,-0.00233455215110089,-0.035657141909963476,-0.08513231848613816,0.9957286689268331
1723550662.6068568,-0.20805229246616364,-1.1922870874404907,-0.999823808670044,-0.012796974056624364,-0.031963048286347585,-0.08717179782029764,0.9955981498924451
1723550662.7077112,-0.17582808434963226,-1.2077536582946777,-0.9693995118141174,-0.02355522831809954,-0.03406346714402508,-0.08945857739289871,0.9951291443889766
1723550662.9095263,-0.10271324962377548,-1.2458281517028809,-0.9818302392959595,-0.021655004527939996,-0.04111997756214608,-0.09447663802275741,0.9944417381308993
1723550663.0103335,-0.046033505350351334,-1.2793692350387573,-0.9690980315208435,-0.015560131786082626,-0.03918216097898485,-0.0978329800769496,0.9943094765913731
1723550663.1112459,0.001629415201023221,-1.313538670539856,-0.9760171175003052,-0.0047394292317753895,-0.03853783325680832,-0.10131738714749225,0.99409615167994
1723550663.2121766,0.02587297186255455,-1.3432221412658691,-0.9735556244850159,-0.00208561861102399,-0.04002379540439482,-0.10490766412236151,0.9936740507337023
1723550663.3130038,0.06957066804170609,-1.3763070106506348,-0.9586138129234314,0.0025081310733160666,-0.0411589166916572,-0.10834902870978214,0.9932573212805762
1723550663.4139395,0.12162730097770691,-1.4089065790176392,-0.9462289810180664,0.003495621975107456,-0.04922494144264264,-0.112104593602787,0.9924702804569484
1723550663.514746,0.18694739043712616,-1.438180685043335,-0.9418814778327942,5.465536768522167e-05,-0.05224489770748919,-0.11612914272383029,0.9918591113581657
1723550663.6156352,0.2416151463985443,-1.4650461673736572,-0.9450017809867859,-0.0016238631236223503,-0.05280224580375589,-0.11926602561519957,0.9914559423259246
1723550663.817606,0.37783747911453247,-1.5236512422561646,-0.9682552218437195,-0.002125796250139913,-0.04670730605073336,-0.12554587432071967,0.9909854500897677
